Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763837693,793997,141769,3,1
1,NewOrder,1763837693,796582,105865,7,1
2,Payment,1763837693,808457,138142,6,1
1,NewOrder,1763837693,823276,92589,5,1
2,Payment,1763837693,830946,125889,1,1
3,OrderStatus,1763837693,840842,4297,8,1
2,Payment,1763837693,845176,118503,8,1
2,Payment,1763837693,854144,120057,2,1
2,Payment,1763837693,900130,84623,0,1
2,Payment,1763837693,902480,89944,7,1
2,Payment,1763837693,902524,100636,9,1
2,Payment,1763837693,915948,101041,5,1
1,NewOrder,1763837693,926061,144896,4,1
2,Payment,1763837693,935796,160961,3,1
2,Payment,1763837693,946629,163348,6,1
1,NewOrder,1763837693,956862,103953,1,1
1,NewOrder,1763837693,963708,94842,8,1
1,NewOrder,1763837693,974232,341239,2,1
1,NewOrder,1763837693,984792,76020,0,1
2,Payment,1763837693,992458,138153,7,1
1,NewOrder,1763837694,003198,62649,9,1
1,NewOrder,1763837694,017017,161491,5,1
2,Payment,1763837694,058599,134336,8,1
5,StockLevel,1763837694,060845,26476,0,1
1,NewOrder,1763837694,060846,105787,1,1
2,Payment,1763837694,065898,145324,9,1
2,Payment,1763837694,070996,151903,4,1
2,Payment,1763837694,087358,149671,0,1
2,Payment,1763837694,096785,150742,3,1
2,Payment,1763837694,110010,150261,6,1
1,NewOrder,1763837694,130640,186910,7,1
4,Delivery,1763837694,166665,29908,1,1
2,Payment,1763837694,178538,151340,5,1
2,Payment,1763837694,192970,146976,8,1
1,NewOrder,1763837694,196608,96454,1,1
2,Payment,1763837694,211253,142160,9,1
1,NewOrder,1763837694,222931,98491,4,1
2,Payment,1763837694,237061,126539,0,1
1,NewOrder,1763837694,247564,66056,3,1
1,NewOrder,1763837694,260293,138686,6,1
1,NewOrder,1763837694,293085,96266,1,1
1,NewOrder,1763837694,313646,68455,3,1
2,Payment,1763837694,315498,94911,2,1
2,Payment,1763837694,317580,102903,7,1
1,NewOrder,1763837694,321456,65294,4,1
1,NewOrder,1763837694,329954,63792,5,1
2,Payment,1763837694,339988,88116,8,1
1,NewOrder,1763837694,353464,48399,9,1
1,NewOrder,1763837694,363633,87757,0,1
1,NewOrder,1763837694,382130,65660,3,1
1,NewOrder,1763837694,386783,71481,4,1
2,Payment,1763837694,389386,85803,1,1
1,NewOrder,1763837694,393780,71566,5,1
2,Payment,1763837694,399023,85278,6,1
2,Payment,1763837694,401944,90327,9,1
1,NewOrder,1763837694,410457,53650,2,1
2,Payment,1763837694,420523,82043,7,1
2,Payment,1763837694,428134,84791,8,1
2,Payment,1763837694,447828,73712,3,1
2,Payment,1763837694,451425,79932,0,1
1,NewOrder,1763837694,458301,116962,4,1
1,NewOrder,1763837694,464144,108921,2,1
2,Payment,1763837694,465373,123488,5,1
1,NewOrder,1763837694,475221,104492,1,1
2,Payment,1763837694,484330,113151,6,1
2,Payment,1763837694,492328,116032,9,1
2,Payment,1763837694,502604,116066,7,1
2,Payment,1763837694,512957,114543,8,1
